Station_ID	Station_Name	Latitude	Longitude	Elevation_ft	Elevation_m	River_Basin	Record_Type	Month	Insolation_MJperM2	Avg_SWE_Inches	SWE_Inches_SD	SWE_Inches_n	Avg_diff_inches	Avg_diff_SD	Avg_diff_n
DAN	Dana Meadows	37.897	-119.257	9800	2990	Tuolumne	BOTH	January	223.12	15.6333714539969	7.17603564522994	90	2.92258064516129		1
DAN	Dana Meadows	37.897	-119.257	9800	2990	Tuolumne	BOTH	February	303.2	21.7404228504358	9.48688641482529	90	2.26609657224959	5.34470390325191	24
DAN	Dana Meadows	37.897	-119.257	9800	2990	Tuolumne	BOTH	March	508.88	27.7616988654693	11.5634726520846	90	0.50515814830331	4.91334472388546	22
DAN	Dana Meadows	37.897	-119.257	9800	2990	Tuolumne	BOTH	April	659.8	25.5940279491571	11.7644232769403	90	-4.63170634920635	2.94895903003866	21
DAN	Dana Meadows	37.897	-119.257	9800	2990	Tuolumne	BOTH	May	807.54	13.9126416630791	11.1192969147143	90	-14.3690629800307	5.8912085851905	21
DAN	Dana Meadows	37.897	-119.257	9800	2990	Tuolumne	BOTH	June	827.72	2.90810414843862	5.15050137901584	90			
DAN	Dana Meadows	37.897	-119.257	9800	2990	Tuolumne	BOTH	July	831.21	0.0948346172405082	0.329927352987495	90			
DAN	Dana Meadows	37.897	-119.257	9800	2990	Tuolumne	BOTH	August	727.46	0.0147868004731921	0.0278660524248377	90			
DAN	Dana Meadows	37.897	-119.257	9800	2990	Tuolumne	BOTH	September	560.8	0.0112693323449654	0.0238388043484736	90			
DAN	Dana Meadows	37.897	-119.257	9800	2990	Tuolumne	BOTH	October	368.89	0.378157829477999	0.327413816951265	91			
DAN	Dana Meadows	37.897	-119.257	9800	2990	Tuolumne	BOTH	November	237.21	3.17375884875116	1.74544406458066	91			
DAN	Dana Meadows	37.897	-119.257	9800	2990	Tuolumne	BOTH	December	191.3	9.17387086695873	4.3201574223679	91			
DPO	Devil's Postpile	37.6294	-119.0847	7569	2307	San Joaquin	ONLY_DAILY	January	209.57	12.047688172043	9.92205147801761	6			
DPO	Devil's Postpile	37.6294	-119.0847	7569	2307	San Joaquin	ONLY_DAILY	February	285.69	17.0570833333333	14.6555338053227	6			
DPO	Devil's Postpile	37.6294	-119.0847	7569	2307	San Joaquin	ONLY_DAILY	March	482.91	16.7764200964034	13.9459739995357	6			
DPO	Devil's Postpile	37.6294	-119.0847	7569	2307	San Joaquin	ONLY_DAILY	April	628.5	10.3079333333333	12.1768509804465	5			
DPO	Devil's Postpile	37.6294	-119.0847	7569	2307	San Joaquin	ONLY_DAILY	May	766.02	2.93451612903226	4.89799154332829	7			
DPO	Devil's Postpile	37.6294	-119.0847	7569	2307	San Joaquin	ONLY_DAILY	June	783.02	0.00380952380952381	0.0100790526135794	7			
DPO	Devil's Postpile	37.6294	-119.0847	7569	2307	San Joaquin	ONLY_DAILY	July	787.71	0	0	7			
DPO	Devil's Postpile	37.6294	-119.0847	7569	2307	San Joaquin	ONLY_DAILY	August	692.26	0	0	7			
DPO	Devil's Postpile	37.6294	-119.0847	7569	2307	San Joaquin	ONLY_DAILY	September	533.5	0	0	7			
DPO	Devil's Postpile	37.6294	-119.0847	7569	2307	San Joaquin	ONLY_DAILY	October	348.21	0.0588709677419355	0.109497684118943	8			
DPO	Devil's Postpile	37.6294	-119.0847	7569	2307	San Joaquin	ONLY_DAILY	November	222.75	0.966555555555556	2.23897120471782	9			
DPO	Devil's Postpile	37.6294	-119.0847	7569	2307	San Joaquin	ONLY_DAILY	December	179.04	4.46601843317972	3.75218315486197	7			
DTL	Dutch Lake	37.258	-118.997	9100	2770	San Joaquin	MONTHLY	January	229.14	34.2477946467194		1			
DTL	Dutch Lake	37.258	-118.997	9100	2770	San Joaquin	MONTHLY	February	308.78	19.0351941489265		52			
DTL	Dutch Lake	37.258	-118.997	9100	2770	San Joaquin	MONTHLY	March	513.62	23.4023229776083		55			
DTL	Dutch Lake	37.258	-118.997	9100	2770	San Joaquin	MONTHLY	April	661.69	23.9495153361222		68			
DTL	Dutch Lake	37.258	-118.997	9100	2770	San Joaquin	MONTHLY	May	803.82	17.6701087048119		25			
DTL	Dutch Lake	37.258	-118.997	9100	2770	San Joaquin	MONTHLY	June	820.79			0			
DTL	Dutch Lake	37.258	-118.997	9100	2770	San Joaquin	MONTHLY	July	826.15			0			
DTL	Dutch Lake	37.258	-118.997	9100	2770	San Joaquin	MONTHLY	August	727.87			0			
DTL	Dutch Lake	37.258	-118.997	9100	2770	San Joaquin	MONTHLY	September	564.97			0			
DTL	Dutch Lake	37.258	-118.997	9100	2770	San Joaquin	MONTHLY	October	374.54			0			
DTL	Dutch Lake	37.258	-118.997	9100	2770	San Joaquin	MONTHLY	November	243.25			0			
DTL	Dutch Lake	37.258	-118.997	9100	2770	San Joaquin	MONTHLY	December	196.85			0			
EML	Emerald Lake	37.183	-118.762	10600	3230	San Joaquin	MONTHLY	January	191.71	3.1542115502395		3			
